Item Sub-Group,Domestic / Export,Expense/COGS Account,Asset Account,Income Account,Internal ID (Account),Account
AA Core (WIP),,Cost of Goods Sold - Core,Semi Product - Core,Domestic Sales - Core,114,Estimates
Colour Paper (Semi),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Paper Color,Domestic Sales - Other Goods,268,External Inventory In Transit
Cutsize (Guillotine) (Semi),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,384,IC Netting Clearing Account
DASP (Back Card),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,595,Intercompany Clearing Account
DASP (Cover),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,124,Opportunities
DASP (Inner Sheet),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,115,Purchase Orders
DASP (Line Printed),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,123,Refunds Payable
DASP (Semi Book),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,266,Requisitions
DASP (Semi-Colour),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,113,Return Authorizations
DASP (WIP),,Cost of Goods Sold - Other Goods,Semi Product - Book plant,Domestic Sales - Other Goods,116,Sales Orders
Folio (Semi),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Folio (Ream),Domestic Sales - Other Goods,215,Transfer Orders
Jumbo Reel,,Cost of Goods Sold - Other Goods,Semi Product - Jumbo Reel,Domestic Sales - Other Goods,110,Unapproved Customer Payments
PrintSheet,,Cost of Goods Sold - Packaging Box&Cover,Semi Product - Box,Domestic Sales - Packaging Box&Cover,117,Unapproved Expense Reports
Process Chemical,,Cost of Goods Sold - Other Goods,Semi Product - Process Chemical,Domestic Sales - Other Goods,291,Unrealized Matching Gain/Loss
RCP Slurry (เยื่อน้ำรีไซเคิ้ล),,Cost of Goods Sold - Other Goods,Semi Product - Slurry RCP,Domestic Sales - Other Goods,217,Work Orders
Roll CM (WIP),,Cost of Goods Sold - Other Goods,Semi Product - Roll CM,Domestic Sales - Other Goods,3388,Petty Cash
Roll Finishing,,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3389,Cash on Hand - Local Currency
Roll WIP,,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3390,Cash on Hand - Foreign Currency
Dummy,,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3395,CA Bank Balance - BBL - DDS (Welgrow)
Roll WIP (EX),Domestic/Export,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Export Sales - Folio Roll,1925,CA Bank Balance - KBANK - DA1991 (Silom)
Roll WIP (EX) - (Parent),Export,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Export Sales - Folio Roll,3393,CA Bank Balance - KBANK - DDS (Bangpakong)
Roll WIP (EX) (WIP),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,5709,CA Bank Balance - KBANK - DA1991 (Phaholyothin)
Roll WIP (REWN),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,1421,CA Bank Balance - KTB - DA1991 (N.Nana)
Roll FG (WIP),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,1404,CA Bank Balance - KTB - DA1991 (Victory Monument)
Roll FG (Pack คู่) (WIP),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3391,CA Bank Balance - KTB - DAPK (Klong Rung)
Roll WIP (to REWN),,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3392,CA Bank Balance - KTB - DDS (N.Nana)
Roll WIP,Roll WIP (Folio),Cost of Goods Sold - Other Goods,Semi Product - Roll for Folio (Ream),Domestic Sales - Other Goods,256,CA Bank Balance - TTB - DA1991 (Sathorn City)
Slurry (เยื่อน้ำ),,Cost of Goods Sold - Other Goods,Semi Product - Slurry Pulp,Domestic Sales - Other Goods,3588,CA Bank Balance - TTB - DA1991 (Chidlom)
WIP Corrugate,,Cost of Goods Sold - Packaging Box&Cover,Semi Product - Box,Domestic Sales - Packaging Box&Cover,5459,CA Bank Balance - SCB - DA1991 (Klong Rung)
WIP Corrugate,,Cost of Goods Sold - Packaging Box&Cover,Semi Product - Cover,Domestic Sales - Packaging Box&Cover,265,CA Bank Balance - SCB - DA1991 (Ratchayothin)
WIP Laminate,,Cost of Goods Sold - Packaging Box&Cover,Semi Product - Box,Domestic Sales - Packaging Box&Cover,1419,CA Bank Balance - SCB - DAPK (Klong Rung)
WIP Laminate,,Cost of Goods Sold - Packaging Box&Cover,Semi Product - Cover,Domestic Sales - Packaging Box&Cover,3394,CA Bank Balance - SCB - DDS (Welgrow)
WIP Laminate,,Cost of Goods Sold - Packaging Wrapper,Semi Product - Wrapper,Domestic Sales - Packaging Wrapper,548,CA Bank Balance - CITI - DA1991 (HO)
WIP Printing,,Cost of Goods Sold - Packaging Wrapper,Semi Product - Wrapper,Domestic Sales - Packaging Wrapper,3402,CA Bank Balance - CIMB - DA1991 (HO)
WIP Slit,,Cost of Goods Sold - Packaging Honeycomb,Finished Goods - Honeycomb Box,Domestic Sales - Packaging Honeycomb,3593,CA Bank Balance - RHB - DA1991 (HO)
Wood Chip,,Cost of Goods Sold - Wood Chip,Semi Product - Wood chip,Export Sales - Wood Chip,3397,CA Bank Balance - UOB - DA1991 (HO)
Wrapper Sheet,,Cost of Goods Sold - Other Goods,Semi Product - Roll for Cutsize,Domestic Sales - Other Goods,3396,CA Bank Balance - BAY - DA1991 (Rama3)
Colour Paper,Domestic,Cost of Goods Sold - Cutsize Colour Paper,Finished Goods - Paper Color (Ream),Domestic Sales - Cutsize Colour Paper,3401,CA Bank Balance - GSB - DA1991 (Phaholyothin)
Colour Paper,Export,Cost of Goods Sold - Cutsize Colour Paper,Finished Goods - Paper Color (Ream),Export Sales - Cutsize Colour Paper,3399,CA Bank Balance - BAAC - DA1991 (Srimahaphot)
Colour Paper - (Parent),Domestic,Cost of Goods Sold - Cutsize Colour Paper,Finished Goods - Paper Color (Ream),Domestic Sales - Cutsize Colour Paper,3400,CA Bank Balance - BAAC - DDS (Bang Bo)
Colour Paper - (Parent),Export,Cost of Goods Sold - Cutsize Colour Paper,Finished Goods - Paper Color (Ream),Export Sales - Cutsize Colour Paper,3592,CA Bank Balance - EXIM - DA1991 (HO)
Cutsize,Domestic,Cost of Goods Sold - Cutsize,Finished Goods - Paper Cutsize,Domestic Sales - Cutsize,3398,CA Bank Balance - LH - DDS (QH Sathron)
Cutsize,Export,Cost of Goods Sold - Cutsize (Oversea Converting),Finished Goods - Paper Cutsize,Export Sales - Cutsize,3413,CA Bank Outgoing - BBL - DDS (Welgrow)
Cutsize,,Cost of Goods Sold - Cutsize (Oversea Converting),Finished Goods - Paper Cutsize,Export Sales - Cutsize (UAE Warehouse),3407,CA Bank Outgoing - KBANK - DA1991 (Silom)
Cutsize - (Parent),Domestic,Cost of Goods Sold - Cutsize,Finished Goods - Paper Cutsize,Domestic Sales - Cutsize,3408,CA Bank Outgoing - KBANK - DDS (Bangpakong)
