Inactive,Internal ID,Item Sub-Group,Item Group,Digit,Domistic&Export,Item Category,Item Sub-Category,Brand,Grade,Gram,Paper Size,Sheet,Layer,Wrap,Pallet,Width,Diameter,Core,Thinkness,Long,Color,Series,Source
No,681,Folio (Packaging),Semi Product,FO,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,680,Book Plant (Package-S2),Packaging,BP,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,679,Cutsize (Packaging),Semi Product,GC,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,678,INK,"Consume,Raw Material",NK,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,677,Converting (Package-S2),Packaging,CV,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,676,WIP Corrugate (RM-KA),Raw Material,BC,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
No,675,Cutsize (Package-EP),Packaging,CZ,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,674,Cutsize Guillotine (Package-Wrapper),Packaging,GC,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,673,DASP (WIP),Semi Product,AS,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,672,"WIP Corrugate (RM-KT,KK)",Raw Material,BC,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
No,671,WIP Corrugate (RM-CA),Raw Material,BC,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
No,670,Roll WIP (to REWN),Semi Product,RW,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
No,669,Roll WIP (EX) (WIP),Semi Product,WX,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
No,668,Roll FG (Pack คู่) (WIP),Semi Product,R2,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
No,667,Roll FG (WIP),Semi Product,RG,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
No,666,Cutsize (Small Pack) (DE),Finished Goods - Paper,CK,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,665,Colour Paper - (Parent),Finished Goods - Paper,CL,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
No,664,Inbound-Landed Cost,Service,IL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,663,Cutsize (DE),Finished Goods - Paper,CZ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,662,Roll FG (Pack คู่),Finished Goods - Paper,R2,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
No,661,Cutsize (Consume-NZ),Consume,CZ,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,660,Roll Finishing (Consume-NZ),Consume,RF,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,659,Book Plant (Consume-OT),Consume,BP,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,658,Cutsize (Package-BC),Packaging,BC,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,657,Book Plant (Package-TAG),Packaging,TG,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,655,Cutsize (Small Pack) (LTA),Finished Goods - Paper,CK,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
No,654,Cutsize (Guillotine) (Small Pack),Finished Goods - Paper,GK,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
No,653,DASP (Insertion),Semi Product,AS,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,652,Wrapper CZ9,Finished Goods - Non Paper,W9,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,651,Roll WIP (EX) - (Parent),"Finished Goods - Paper,Semi Product",WE,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,650,Mill to port,Service,MP,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,649,OH Dept Variable - Transportation,Service,V4,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,648,Export Collection Expenses,Service,EC,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,647,Tap water,Service,TW,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,646,Electricity,Service,EL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,645,Welfare,Service,WF,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,644,Other Transportation,Service,OT,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,643,Domestic Land Transport,Service,DL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,642,Local charge,Service,LO,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,641,Inland,Service,IN,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,640,Sea Freight,Service,SF,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,639,Warehouse Rental - Selling,Service,WH,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,638,Direct OH Machine Variable - Utility,Service,MV,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,637,Goods in transit,Service,GT,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,636,Contra PPE,Fixed Asset,PE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,635,Cutsize (Small Pack) (AUS),Finished Goods - Paper,CK,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Yes,634,Cutsize (Small Pack) (Guillotine) (LTA),Finished Goods - Paper,GK,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Yes,633,Cutsize (Small Pack) (Guillotine) - (Parent),Finished Goods - Paper,GK,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Yes,632,Cutsize (Small Pack) (Guillotine),Finished Goods - Paper,GK,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
No,631,Roll CM - (Parent),Finished Goods - Paper,RG,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,630,Wrapper Sheet,Semi Product,WT,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,629,Box MN,Finished Goods - Non Paper,BN,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,628,Intangible Assets Cost,Fixed Asset,IA,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,627,"Vessels, Trucks and Other Vehicles",Fixed Asset,VH,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,626,Tools,Fixed Asset,TL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,625,Machinery and Equipment,Fixed Asset,ME,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,624,Buildings and Improve of Land and Buildings,Fixed Asset,BL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,621,Land,Fixed Asset,LD,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,620,Furniture Fixtures and Office Equipment,Fixed Asset,FF,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,616,GR/IR Product,Service,GP,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,615,GR/IR Landed Cost,Service,GL,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,614,Cost of Service - Maintenance,Service,MT,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,613,Office Repairs,Service,E2,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,612,Rental Expenses,Service,E1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,611,Sub-Contract,Service,SC,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,610,Labor - Contractor,Service,LC,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,609,Direct OH Machine Variable - Maintenance,Service,M1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,608,OH Dept Variable - Heavy Equipment,Service,V3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,607,OH Dept Variable - Issue Inventories,Service,V2,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,606,OH Dept Variable - Waste Management,Service,V1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,605,OH Dept Facility - Tools&Equipment,Service,F4,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,604,OH Dept Facility - Testing&Analysis,Service,F3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,603,OH Dept Facility - Welfare and Others,Service,F2,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,602,OH Dept Facility - Renovate,Service,F1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,601,OH Dept Fixed - Rental,Service,OR,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,600,Cutsize (Guillotine) (LTA),Finished Goods - Paper,GC,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,599,Cutsize (Guillotine) (AUS),Finished Goods - Paper,GC,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,598,Cutsize (AUS),Finished Goods - Paper,CZ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,597,Cutsize (HMP),Finished Goods - Paper,CZ,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,596,Cutsize (LTA),Finished Goods - Paper,CZ,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,595,Dummy,Semi Product,XX,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,594,Sheet Board (RM-KT),"Finished Goods - Non Paper,Raw Material",BC,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
No,593,Cutsize (Small Pack) - (Parent),Finished Goods - Paper,CK,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,592,Roll FG - (Parent),Finished Goods - Paper,RG,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,591,Folio - (Parent),Finished Goods - Paper,FO,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
No,590,Cutsize (Guillotine) - (Parent),Finished Goods - Paper,GC,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,589,Cutsize - (Parent),Finished Goods - Paper,CZ,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,588,Rewards,Marketing,RE,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,587,Ch.BME (E),"Marketing,Service",B1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,585,Mass BME (E),"Marketing,Service",BM,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,584,Admin & Expense,"Marketing,Service",AD,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,583,Mass BME (D),"Marketing,Service",BM,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,582,Ch.BME (D),"Marketing,Service",B1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
No,581,CME,"Marketing,Service",C0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
