Internal ID,Item Name,Item Code
41557,Core-A2 | 76.2*6*2190 mm (FG),2CO-C2-0762-06-2190
41558,Core-A2 | 76.2*15*2210 mm (FG),2CO-C2-0762-15-2210
41560,Core-A4 | 76.2*15*555 mm (FG),2CO-C4-0762-15-0555
41561,Core-A4 | 76.2*15*740 mm (FG),2CO-C4-0762-15-0740
41559,Core-A4 | 76.2*15*3500 mm (FG),2CO-C4-0762-15-3500
41562,Core-A4 | 76.2*15*6800 mm (FG),2CO-C4-0762-15-6800
41563,Core-A4 | 127*11.5*6400 mm (FG),2CO-C4-1270-12-6400
41579,Core-A4 | 150.2*15*1490 mm (FG),2CO-C4-1502-15-1490
82188,Core-A4 | 150.2*15*1500 mm (FG),2CO-C4-1502-15-1500
41573,Core-A4 | 150.2*15*1604 mm (FG),2CO-C4-1502-15-1604
41564,Core-A4 | 150.2*15*1700 mm (FG),2CO-C4-1502-15-1700
41572,Core-A4 | 150.2*15*2120 mm (FG),2CO-C4-1502-15-2120
41565,Core-A4 | 150.2*15*2190 mm (FG),2CO-C4-1502-15-2190
41566,Core-A4 | 150.2*15*2405 mm (FG),2CO-C4-1502-15-2405
41567,Core-A4 | 150.2*15*2540 mm (FG),2CO-C4-1502-15-2540
41568,Core-A4 | 150.2*15*2610 mm (FG),2CO-C4-1502-15-2610
41569,Core-A4 | 150.2*15*6460 mm (FG),2CO-C4-1502-15-6460
41574,Core-A4 | 152.4*15*1015 mm (FG),2CO-C4-1524-15-1015
41575,Core-A4 | 152.4*15*1020 mm (FG),2CO-C4-1524-15-1020
41576,Core-A4 | 152.4*15*1523 mm (FG),2CO-C4-1524-15-1523
41577,Core-A4 | 152.4*15*1545 mm (FG),2CO-C4-1524-15-1545
41578,Core-A4 | 152.4*15*1550 mm (FG),2CO-C4-1524-15-1550
82189,Core-A4 | 152.4*15*1603 mm (FG),2CO-C4-1524-15-1603
41570,Core-A6 | 76.2*15*7000 mm (FG),2CO-C6-0762-15-7000
82187,Core-A6 | 76.3*15*7000 mm (FG),2CO-C6-0763-15-7000
41571,Core-A6 | 150.2*15*2540 mm (FG),2CO-C6-1502-15-2540
41541,Core-A2 | 76.2*6*6670 mm (WIP),3CW-C2-0762-06-6670
41542,Core-A2 | 76.2*15*6730 mm (WIP),3CW-C2-0762-15-6730
41543,Core-A4 | 76.2*15*6800 mm (WIP),3CW-C4-0762-15-6800
