Type,Size,Unit,Paper Size,กว้าง,ยาว,Gram,Sheet,Weight / Ream (KG),Weight / Pack (KG),Weight / Box (KG),ความสูง/Layer (นิ้ว),ความสูงต่อ 1 Layer (CM)
Paper,216x279,mm,A11,216,279,70,500,2.109,,,9.84,25.6
Paper,216x279,mm,A11,216,279,70,550,,2.32,,11.06,28.1
Paper,216x279,mm,A11,216,279,75,500,2.26,,,11.02,26.6
Paper,216x279,mm,A11,216,279,80,20,,0.096,,10.08,25.6
Paper,216x279,mm,A11,216,279,80,500,2.411,,,11.42,27.6
Paper,216x279,mm,A11,216,279,90,500,2.712,,,8.66,22.7
Paper,297x420,mm,A3,297,420,70,500,4.366,,,9.84,25.6
Paper,297x420,mm,A3,297,420,70,550,,4.802,,11.22,28.1
Paper,297x420,mm,A3,297,420,75,500,4.678,,,11.02,26.6
Paper,297x420,mm,A3,297,420,80,100,,0.998,,,27
Paper,297x420,mm,A3,297,420,80,500,4.99,,,11.42,27.6
Paper,297x420,mm,A3,297,420,80,550,,5.489,,12.2,30.6
Paper,297x420,mm,A3,297,420,90,500,5.613,,,11.81,28.6
Paper,297x420,mm,A3,297,420,100,200,,2.495,,10.24,25.6
Paper,420x297,mm,A3/SG,420,297,70,500,4.366,,,9.84,25.6
Paper,420x297,mm,A3/SG,420,297,70,550,,4.802,,11.22,28.1
Paper,420x297,mm,A3/SG,420,297,75,500,4.678,,,11.02,26.6
Paper,420x297,mm,A3/SG,420,297,80,500,4.99,,,11.42,27.6
Paper,420x297,mm,A3/SG,420,297,80,550,,5.489,,12.2,30.6
Paper,210x297,mm,A4,210,297,60,30,,0.112,,,
Paper,210x297,mm,A4,210,297,60,40,,0.15,,,
Paper,210x297,mm,A4,210,297,60,50,,0.187,,,
Paper,210x297,mm,A4,210,297,60,100,,0.374,,,
Paper,210x297,mm,A4,210,297,60,200,,0.748,,,
Paper,210x297,mm,A4,210,297,60,500,1.871,,,,
Paper,210x297,mm,A4,210,297,70,25,,0.109,,,
Paper,210x297,mm,A4,210,297,70,30,,0.131,,,
Paper,210x297,mm,A4,210,297,70,50,,0.218,,,
Paper,210x297,mm,A4,210,297,70,450,,1.965,,9.45,
Paper,210x297,mm,A4,210,297,70,500,2.183,,,9.84,25.6
Paper,210x297,mm,A4,210,297,70,550,,2.401,,11.22,28.1
Paper,210x297,mm,A4,210,297,75,25,,0.117,,11.42,
Paper,210x297,mm,A4,210,297,75,30,,0.14,,ของ สมุด,
Paper,210x297,mm,A4,210,297,75,100,,0.468,,11.22,
Paper,210x297,mm,A4,210,297,75,250,,1.169,,10.63,
Paper,210x297,mm,A4,210,297,75,500,2.339,,,11.02,26.6
Paper,210x297,mm,A4,210,297,80,12,,0.06,,,
Paper,210x297,mm,A4,210,297,80,20,,0.1,,10.08,25.6
Paper,210x297,mm,A4,210,297,80,25,,0.125,,11.42,30.6
Paper,210x297,mm,A4,210,297,80,40,,0.2,,11.02,24.6
Paper,210x297,mm,A4,210,297,80,50,,0.249,,,
Paper,210x297,mm,A4,210,297,80,80,,0.399,,,
Paper,210x297,mm,A4,210,297,80,100,,0.499,,11.02,27
Paper,210x297,mm,A4,210,297,80,200,,0.998,,11.02,
Paper,210x297,mm,A4,210,297,80,250,,1.247,,11.42,
Paper,210x297,mm,A4,210,297,80,450,,2.245,,9.84,
Paper,210x297,mm,A4,210,297,80,500,2.495,,,11.42,27.6
Paper,210x297,mm,A4,210,297,80,550,,2.744,,12.2,30.6
Paper,210x297,mm,A4,210,297,80,2500,2.495,,,11.42,
Paper,210x297,mm,A4,210,297,90,40,,0.225,,11.42,25.6
Paper,210x297,mm,A4,210,297,100,40,,0.249,,,
Paper,210x297,mm,A4,210,297,90,100,,0.561,,11.42,31.8
Paper,210x297,mm,A4,210,297,90,500,2.807,,,11.81,28.6
Paper,210x297,mm,A4,210,297,100,20,,0.125,,11.42,
Paper,210x297,mm,A4,210,297,100,200,,1.247,,11.02,25.6
Paper,210x297,mm,A4,210,297,100,500,3.119,,,12.2,25.6
Paper,210x297,mm,A4,210,297,120,25,,0.187,,,
Paper,210x297,mm,A4,210,297,120,50,,0.374,,,
Paper,210x297,mm,A4,210,297,120,200,,1.497,,11.02,
Paper,210x297,mm,A4,210,297,150,20,,0.187,,,
Paper,210x297,mm,A4,210,297,150,50,,0.468,,,
Paper,210x297,mm,A4,210,297,150,200,,1.871,,,
Paper,210x297,mm,A4,210,297,180,15,,0.168,,,
Paper,210x297,mm,A4,210,297,180,20,,0.225,,,
Paper,210x297,mm,A4,210,297,180,50,,0.561,,,
Paper,210x297,mm,A4,210,297,180,200,,2.245,,,
Paper,148x210,,A5,148,210,70,500,1.088,,,9.84,25.6
Paper,148x210,inch,A5,148,210,80,500,1.243,,,12.2,27.6
Paper,12x18,mm,12x18,12,18,90,500,6.271,,,9.06,28.6
Paper,320x450,mm,320x450,320,450,70,500,5.04,,,1.69,
